,user_reviews,char_count,word_count,str,sentiment
2,well multiple games actually even may find accurate may look way games played buzz right youve probably heard quite bit alreadyif like got without spoilers congrats way show able surprise quite times players also even story evolves may end exactly would imagine also seen good thing reckonas fan korean cinema curious anyway dissapoint acting amazing effects great story mature get enough social commentary critique make great watch,803.0,158,"0                                                     NAN
1                                                     NAN
2       Well multiple games actually, but even that yo...
3                                                     NAN
4       Even if you've seen ""The Hunger Games"" and ""Mo...
                              ...                        
2250                                                  NaN
2251                                                  NaN
2252                                                  NaN
2253                                                  NaN
2254                                                  NaN
Name: user_reviews, Length: 2255, dtype: object",Positive
4,even youve seen hunger games money heist called ojingeo geim original korean still going shock sad thing many people choice risk everything like characters heredefinitely see youll never look childrens way seeing,349.0,61,"0                                                     NAN
1                                                     NAN
2       Well multiple games actually, but even that yo...
3                                                     NAN
4       Even if you've seen ""The Hunger Games"" and ""Mo...
                              ...                        
2250                                                  NaN
2251                                                  NaN
2252                                                  NaN
2253                                                  NaN
2254                                                  NaN
Name: user_reviews, Length: 2255, dtype: object",Positive
6,exciting show keeps watching korean part emotional connection characters financial problems family obligations violence although comically exaggerated unusual k drama good acting lsj phs veteran actors striking set design gives visually glossy look whatever makes international audiences watch k dramas good isnt typical k drama far one best swift watch,483.0,81,"0                                                     NAN
1                                                     NAN
2       Well multiple games actually, but even that yo...
3                                                     NAN
4       Even if you've seen ""The Hunger Games"" and ""Mo...
                              ...                        
2250                                                  NaN
2251                                                  NaN
2252                                                  NaN
2253                                                  NaN
2254                                                  NaN
Name: user_reviews, Length: 2255, dtype: object",Positive
7,loved three last episodes killed vibe,51.0,10,"0                                                     NAN
1                                                     NAN
2       Well multiple games actually, but even that yo...
3                                                     NAN
4       Even if you've seen ""The Hunger Games"" and ""Mo...
                              ...                        
2250                                                  NaN
2251                                                  NaN
2252                                                  NaN
2253                                                  NaN
2254                                                  NaN
Name: user_reviews, Length: 2255, dtype: object",Positive
9,greetings lithuaniai liked enjoyed 2021 series interesting simple concept end day solidly executed acting solid well directing writing whole concept felt fresh kinda original easy get attached watch whole show ending also pretty interesting although bit predictableoverall enjoyed felt fresh involving well believable throughout believe given popularity get seasons long solid first one im show,625.0,108,"0                                                     NAN
1                                                     NAN
2       Well multiple games actually, but even that yo...
3                                                     NAN
4       Even if you've seen ""The Hunger Games"" and ""Mo...
                              ...                        
2250                                                  NaN
2251                                                  NaN
2252                                                  NaN
2253                                                  NaN
2254                                                  NaN
Name: user_reviews, Length: 2255, dtype: object",Positive
10,production behind show representative dangerous hunger games satanic baddies run world desperate feel kind emotion apparently comes dehumanizing masses defiling innocentthose find fulfillment already found degeneracy subconsciously conditioned accept new normal pay attention afford itis joke telling,475.0,78,"0                                                     NAN
1                                                     NAN
2       Well multiple games actually, but even that yo...
3                                                     NAN
4       Even if you've seen ""The Hunger Games"" and ""Mo...
                              ...                        
2250                                                  NaN
2251                                                  NaN
2252                                                  NaN
2253                                                  NaN
2254                                                  NaN
Name: user_reviews, Length: 2255, dtype: object",Positive
11,korean drama bloody somehow hopefulit nice cinematography sometimes overused gore well executed action scenes background stories moreover set drama apart rest survival series gives korean drama feel makes story believable helps viewer relate characters understand also gave humane twist story made dramatic settings costumes childish sidefinally performances great everyone castso overall 7 10,628.0,107,"0                                                     NAN
1                                                     NAN
2       Well multiple games actually, but even that yo...
3                                                     NAN
4       Even if you've seen ""The Hunger Games"" and ""Mo...
                              ...                        
2250                                                  NaN
2251                                                  NaN
2252                                                  NaN
2253                                                  NaN
2254                                                  NaN
Name: user_reviews, Length: 2255, dtype: object",Positive
12,creator director donghyuk hwang certainly one crazy vision successfully made series sure plot technical issues wasnt fond ending rewrote head much better somewhat newb korean filmmaker epicthe visuals props sets outstanding cinematography score amazing casting performances except vips excellent props neflix thanks dubbing one right time hoping s2 real soon well deserved 810,561.0,98,"0                                                     NAN
1                                                     NAN
2       Well multiple games actually, but even that yo...
3                                                     NAN
4       Even if you've seen ""The Hunger Games"" and ""Mo...
                              ...                        
2250                                                  NaN
2251                                                  NaN
2252                                                  NaN
2253                                                  NaN
2254                                                  NaN
Name: user_reviews, Length: 2255, dtype: object",Positive
14,great concept desperate people financial problems compete huge sum moneyapparently 38 mil american must play games one another severe penalty losing like sopranos episodes better others number six best sets wes anderson like bright colors filling screen lead actors excellent scripts well written violence top comic relief sight final episode bit letdown overall highly entertained,573.0,101,"0                                                     NAN
1                                                     NAN
2       Well multiple games actually, but even that yo...
3                                                     NAN
4       Even if you've seen ""The Hunger Games"" and ""Mo...
                              ...                        
2250                                                  NaN
2251                                                  NaN
2252                                                  NaN
2253                                                  NaN
2254                                                  NaN
Name: user_reviews, Length: 2255, dtype: object",Positive
15,genuinely enjoyed show beginning end true social commentary humanity competition avarice carnage occurring nailbiting games get compelling human drama fantastic addition kill genre seems always elevated korean talent behind front camera,348.0,59,"0                                                     NAN
1                                                     NAN
2       Well multiple games actually, but even that yo...
3                                                     NAN
4       Even if you've seen ""The Hunger Games"" and ""Mo...
                              ...                        
2250                                                  NaN
2251                                                  NaN
2252                                                  NaN
2253                                                  NaN
2254                                                  NaN
Name: user_reviews, Length: 2255, dtype: object",Positive
