,Commental title,char_count,word_count,sentiment
0,space symbol metaphor analysis social rules concentrated human nature,98,15,Positive
6,first 8 episodes exciting 9th episode doramen,73,13,Positive
8,far ordinary people evil,50,9,Positive
9,words plagiarism,39,7,Positive
10,latcoma desire theory,38,6,Positive
11,head greater content treatment time,63,12,Positive
12,world world net fly finally  ,59,13,Positive
14,dating method children adults,37,6,Positive
15,color symbols games severe spoiler cautious,61,9,Positive
16,reality hell big escape,43,9,Positive
17,long mens story,25,5,Positive
18,live episodes,44,9,Positive
20,backbound,9,1,Positive
21,second episode exposes ending protagonist,56,9,Positive
22,personal guess directors intention,43,6,Positive
25,humanity,13,2,Positive
26,decrypt red man organization,41,6,Positive
27,micro _,12,3,Positive
30,5 sentences summary drama director tell us,55,10,Positive
32,childlike hell,14,2,Positive
33,net brush screen 19 banned new drama saw adrenaline madness,72,13,Positive
34,kind gas,13,4,Positive
35,notes,5,1,Positive
36,strongest drama eightcharacter analysis,56,7,Positive
38,murderous hidden corners including spoiler,73,10,Positive
40,always bold korean drama,32,6,Positive
41,also played young,45,9,Positive
43,,10,2,Positive
44,real inner roll country bottom interest,75,15,Positive
45,film review human nature,41,8,Positive
46,questions feelings games,44,7,Positive
47,outcomes seem destined,41,7,Positive
49,end,19,5,Positive
52,may little bit marketing,51,11,Positive
54,brief discussion summary,37,5,Positive
55,exposing basten line childrens,61,10,Positive
57,liver hhhhhh,12,2,Positive
58,see american tuhanda entertainment games,51,7,Positive
59,think reading,19,3,Positive
60,accepting complexity human nature,40,6,Positive
61,another green tea,29,5,Positive
63,gambling,26,5,Positive
64,forcgonally dispatch,27,4,Positive
65,provincial flow assistant,25,3,Positive
66,dolly,16,3,Positive
68,humble dust,32,7,Positive
69,didnt look dramatic comments,38,6,Positive
70,small small record,29,5,Positive
73,tour play review,22,4,Positive
74,east drama still success worth seeing,60,13,Positive
76,fairy tale adult,31,6,Positive
77,small investment seedling seed,31,4,Positive
78,exciting regrets modern film television dropped classic beauty win strong circumstances,118,17,Positive
79,one plugin film,16,3,Positive
80,one plugin film,16,3,Positive
81,one plugin film,16,3,Positive
82,view,6,2,Positive
83,human,10,2,Positive
84,discuss difference male male seconds male owner paid old man,105,20,Positive
85,many things gambling,27,5,Positive
86,cruel,23,4,Positive
87,baohaus,18,3,Positive
88,best show one,21,5,Positive
90,plagiarism frame think,36,7,Positive
91,known,8,2,Positive
92,talk feeling reading,36,6,Positive
93,simply write little bit feeling small spit,51,10,Positive
97,dare play,33,7,Positive
99,humanity,13,2,Positive
100,,10,2,Positive
101,diversity drama,15,2,Positive
102,life,14,4,Positive
103,like physiology want say love easy,75,16,Positive
106,drama full many unreasonable plots worldwide hype,67,12,Positive
107,casual,6,1,Positive
108,13 episodes,23,4,Positive
110,korean drama korean drama,47,9,Positive
111,suitable eating brain drama,46,9,Positive
112,survival law,30,6,Positive
113,old suit affect exciting performance actor excellent details,84,14,Positive
115,personal views three rules games,52,10,Positive
116,realism criticism korean society,35,5,Positive
117,tv series mortality 9978,44,10,Positive
118,biggest sorrow life reason living,56,11,Positive
121,fivestar praise read tv series,51,10,Positive
122,say,15,4,Positive
124,online praise dont accept,42,7,Positive
125,online praise dont accept,42,7,Positive
129,bugs settings details affect overall logic easy play time time,109,22,Positive
132,see,29,7,Positive
134,,12,2,Positive
135,ancient modern changes democracy meanings,48,7,Positive
137,drama chinese rule,27,6,Positive
140,world,26,6,Positive
141,heaven,6,1,Positive
142,fight,14,3,Positive
143,may win,34,8,Positive
144,player trapped system,31,6,Positive
146,others hell,17,3,Positive
147,others hell,17,3,Positive
148,piano key,9,2,Positive
149,best part must lost,55,12,Positive
150,small secret utopia,36,7,Positive
