,Review main body,char_count,word_count,sentiment
0,first public number ___ welcome attention use contrast form tension space metaphor chu gates world compare works murderous games 6 design pediatrics children play twothree wood people buckle cake tugofwar marble overwood bridge pediatric games become horrible,368,56,Positive
1,design tv series morphological change real world every time everyone emphasizing people numbers people symbols people real people think emphasizes fear become say numbers africas corner passed river bite neck crocodile,408,76,Positive
4,example lets talk plot scenery see drama handsome li zhija ouba fullend loser unemployment old debt hundreds millions debts also chased people given body bad person underlying livestock one day subway got chance change reality suddenly kong liu suddenly appeared took initiative invite li zhengzai,452,83,Positive
7,discussing seem known yen 4 stars 5 stars dont work softly drama lot heart want express much learn much lot bridges hunger big escape moving maze story drag 9 episodes fact reduced director talking humans,378,77,Positive
8,recently korean drama become explosive drama burst fictitically closure environment closed environment watching replica one two wood people tugofwar playing beads etc fact competition system conducted cruel killing competition saw little people like protagonist became halfcurious half,391,62,Positive
9,0 sake black korean drama truth fact 1 kind invited play games lost win grand prize comics gambling 1996 2 turn childhood horrible murderous activities idea comes jincheng zongfus comics good god,345,66,Positive
12,net fly long time finally created phenomenon explosion day broadcast broken circles rushed microblogging entire small holiday continued hot september 23 reached netflixtvshow net flight tv program 2nd place world top us district korean media said writes new history korean drama built world explosion model rotten tomato freshness 100,456,81,Positive
13,never gave fresh watch went online reached quite heat limeling lazy see dont want write something result cant find special angle cant get film review participant afraid send first one two wood people,367,79,Positive
15,reading guidelines 1 overall evaluation 2 color 2212 wood man 23 candy cookies 24 tutoring river 25 seize collection violation rules 26 toning playing ball 3 symbolizing 31 five mask 32 survival games 33 key portraint female role 34 equality 35 graphics 36 symbolized people 37 pig piggy bank 38 last dinner 39 final,349,58,Positive
17,heard lot comments say long big escape alice country conspicuous element killing cruel bottom kill use make background everyone puts uniform uniforms threat muzzle become beast beasts horse horse becoming cold number pretending true,393,73,Positive
21,egg foreign article revealed personally feel busy share original website massivesquidgameepisode2eastereg,146,20,Positive
22,type drama work drama tension story integrity well intention director deploying plot strong director deeply reflected human understanding people finally effective 1,243,42,Positive
23,put character story background chat dialogue want explain rules let players go study vulnerability bug full flying plot old suit still vulgar flash point drama soon six games continue water really want fall asleep netflix spend money xuanfei say netflix __really rich reality,439,85,Positive
28,three views really like shang kind death live environment choose team single dry maximize interests clear purpose movement belief head end unswervingly achieve goals kind person really selfish like like women much,375,74,Positive
29,first saw 123 wood peoples fragments short video platform like exciting feeling color stairs also super love hurry find resources result want say word whole drama took money much man let say like 1 several games like 123 wood people glass bridges stimulating tension steps tension,400,77,Positive
30,best thing movie human part ok 1 child wants raise dont stay greatest resonance old poor mother opinion make mistakes make money cant make desperate,287,57,Positive
31,korean drama recent brush screen fire according netflix since online september 17 settled tvshows top1 became first korean drama top time play also heat china people change chinese version people challenge excavation _ sugar people sell masks sportswear funny thing people wu jings table,456,82,Positive
33,popular new drama near future brush global hot search breaking new new record also creates history time also disputes four plagiarism integrates evaluation mixed today come specific chat class card absolute wang fry network fly huang dongz furnace strange directed li zhengze new world park sea,408,71,Positive
35,                                                  blood relationship quite ok sighing ability south koreas cultural output hope countrys film television art practitioners usher freedom creation,374,91,Positive
36,_____ squidgame fall 2021 tv drama dominated hu zhengzai starred korea received 100 million faithful audience since ten days became global phenomenon story tells fictional world 456 backgrounds collection players 456,329,55,Positive
41,finished reading first episode dont play called siege going shown figure black wall cant span two doors two doors diagonal people city jump one foot cant change feet feet goal occupy treasure city need go city break door side,483,98,Positive
42,factory closed wife remained gamble really terrible daughter eat ten twentyyearold cakes combined last episode liability rate high feel ipadpro cracking screen also fight three years purple potato pudding potato pudding purple potato pudding potato pudding purple potato pudding potato pudding potato pudding potato pudding potato pudding potato,461,75,Positive
43,drama like movie dont remember also tied group people big giant pay live contractor earns __ however drama winner everyone die abused last person pay attention death even reason others last people,346,68,Positive
44,people brushed similar japanese generous work sense midautrium ordinary adrenaline drama shuanglilu always heroes opened protagonist hanglike thorns buddhous flow boutique protagonist appears weak first seems kind kindness challenge weak kind kindness hypocrite seems district,448,77,Positive
45,film review sense movie set players common attribute debts reasonable piece also reflect social problems episode puts debt core position debt group gathered play life death games although didnt want participate experiencing first life death lost see,446,81,Positive
47,continuously please take careful following point view kind person participants games first exception carrying huge debts second 456 participants invited come mysterious men explain every competitor certain degree gamblers case difficult,397,69,Positive
48,want spit actor drama havent seen disgusting characters long time seeing 456 complaints financial males glass bridge wake man still stupid sinful beauty isnt lie old grandfather equally pushed muzzle killing people killing sage,362,69,Positive
50,people worth believed dont believe far woman despised terrible satisfy five minutes change life satisfy five minutes may spare one two wood people buckle cake tugofwar marble overwood bridge childhood,377,69,Positive
51,recent online network flow media straight hot good chart 1 probably one life failed qin year supported old mother wife married daughter married would rather let daughter shouted father dad want qun see child worse owe lot freeway cheng xun forced sign copy,440,87,Positive
52,released score high water army still watching tv drama movies thats right killing stick accept refuters first 3 episodes bit bit really good fourth episode starting think man like abbreviations uncomfortable underlying ordinary peoples abbreviations behind fourth episode think man brain,425,75,Positive
55,say 2021 cool top1 probably one question started feel name understand later found traditional korean people also name drama finally clearance challenge drama real life loser issued invitation card opportunity win huge wealth change life lian morder six games,432,81,Positive
57,drop picture reading feel special terrible   thinking justice evil desire let others sacrifice girls girl like girl feeling heart jump feeling people painful,341,68,Positive
62,202111624 years old good finally tackled super like woman front stimulating twothree wood big doll stunning group shoot exciting ali people saved male life tugofwar also good test iq still river men women fortunate enough live old boss policy live second cool girl came,420,79,Positive
63,gambling gambling meal looking fun gambler deeply imagined turn illusion rich man visitor social side city gambler exposed complex ugly humanity madness top one margins society selfsatisfaction mob wicked  social structure,393,74,Positive
65,point music given left half hour go back cool clothes cant doubt people born hard eat hey cant taste feel like taste feel general  _ _ looking class little liver every day hahaha text bunch people owe high debt gather together participate first tour,395,84,Positive
66,recently games major tv lists taken people many people nasal may middleman love especially lets talk subject matter violence like many violent film television colorful listed horror terrible play bottle water egg one side,395,74,Positive
83,realistic human group losers murders real society murder poor walking automatically passive finally take initiative enter cant turned back end one two wood people eliminated face death many people afraid want withdraw seeing plus piggy bank,425,81,Positive
84,want discuss difference men men man paid old man following conclusion personal opinion welcome discussions different opinions sudden transmissive lot never seen film lets talk conclusion male second male peoples ideas much difference difference judge preestimate ability divide twopole differentiation causing two people make distinct choice firstly,524,89,Positive
85,one countless short video let search fire generally personally dont watch hot hot play generally wait certain day chase updated see set attention show brushed night 34 points first time sleep early skip lot small details feel,352,69,Positive
88,story burst ultimate exploration life best looking drama one always dont catch cold japan often focused life human nature still unable hold annual marketing look get drama applies violent aesthetics gold application former moment dreamy skil,372,68,Positive
91,known take light whole network recommended quite high reading rough killing plot hunger burning chainsaw big escape least parts refresh many points dialogue thinking uncle desire desire satisfied painful bored life swinging pain borsing,392,69,Positive
93,1 story script successful rhythm hollywood model professional calculation audience hinder drama really attractive 2 performance discussion core entire story true idea __the master romantic political,320,59,Positive
94,saw play short video platforms discussively discuss time weekend made personal point view currently 76 points douban quite together overall drama good somewhat seeing dramatic commentary dramatic experts walks life watched film television works deep talking words 1 first korean drama korean drama sorry love year,463,83,Positive
95,set people circle childs real child bloody picture form strong contrast soundtrack subtle horror atmosphere coming first round participants selected button sound alternating yesorno soundtrack class button echoed really impressive represents triangles circles squares games island running throughout mask,447,72,Positive
97,whole drama mainly 456 people selected final winner playing 6 123 wood people _ sugar marble tugofwar etc winners reward 456 billion 250 million yuan although bonus rich cost loser also large give life first saw major network platforms,401,73,Positive
101,first episode 1 beginning contempt care social rules adulthood finally arranged social rules education good job reflecting college entrance examination score score score big four contempt group people small temptation gambling gambling finally indemnure gambling man sitting zhuang fooling gamblers borrowing money forcing bad circulation,475,76,Positive
107,also dont want look good deceived people deceived feel bad forced wife children easy someone claims brother help finally big uncle roadside person lived life people saved waist wrapped around everything,382,74,Positive
