,Commental title,char_count,word_count,sentiment
1,hate reasonable comments,32,5,Negative
2,gambling horses dont work old know good father,75,18,Negative
3,man father fake bad selfknowledge,63,12,Negative
4,kong liu fan li zheng slaughtered result ear fan unwaken,68,13,Negative
5,discover,8,1,Negative
7,want take little bad makeup,49,12,Negative
13,successful entry,31,6,Negative
19,mens looks frown,20,4,Negative
23,curious necessary directly escape model may saved drama,92,18,Negative
24,survival,22,3,Negative
28,like,15,4,Negative
29,amazing disappointment,34,5,Negative
31,also believe people three conjectures games,59,9,Negative
37,dont take life play,23,5,Negative
39,impossible china dont say city camera check drunk driving evening let red clothes coma cartoon,151,30,Negative
42,still talk participate,62,12,Negative
48,sorry havent seen disgusting men long time,58,11,Negative
50,___ __,17,4,Negative
51,kong liu opened killing big coffee cloud gathered competition korean drama broke,107,18,Negative
53,plot bug,26,6,Negative
56,dont know,21,6,Negative
62,look,17,4,Negative
67,smile point slot point,24,4,Negative
71,456 iq second quarter,29,6,Negative
72,456 iq second quarter,29,6,Negative
75,maybe still kind,26,6,Negative
89,underlying,10,1,Negative
94,drama good dont expect second season,56,11,Negative
95,456 1 intertwined two virtual conversions,49,8,Negative
96,much persuade,18,3,Negative
98,amazing opening boring end,27,4,Negative
104,survival,22,3,Negative
105,circuit weak,15,3,Negative
109,humanity falls quarter,29,5,Negative
114,one two wood people,22,5,Negative
119,ridiculous people,17,2,Negative
120,music plot,11,2,Negative
123,shameless,9,1,Negative
126,good china cant shoot,32,6,Negative
127,cao shangyous pressure,23,3,Negative
128,life needs flavor exciting better,40,6,Negative
130,write writing,13,2,Negative
131,sinking stone ghost hole liu,40,8,Negative
133,world absurd life painful,36,7,Negative
136,title,5,1,Negative
138,hell,27,6,Negative
139,current status korea,36,7,Negative
145,people advanced animals senior talents,51,8,Negative
151,putting _ good persons skin __  _,39,8,Negative
152,bother look forward second season,59,11,Negative
155,ten dead,19,4,Negative
156,examination party finished reading,44,6,Negative
158,violence empty bloody calories,39,6,Negative
160,koreans sad reminders young people dont day south korea,90,16,Negative
161,addition shot boss cant think possibilities end,81,15,Negative
165,lost interest,13,2,Negative
168,man stupid sweetness,38,8,Negative
169,hyundais dilemma,17,2,Negative
173,roaming,14,2,Negative
174,think  ,14,4,Negative
177,gray human,10,2,Negative
178,short fast processing plant road south korea,58,11,Negative
179,tiger head count snake,39,8,Negative
181,evidence games,31,5,Negative
183,slightly rushing end,20,3,Negative
184,big boss behind scenes,26,5,Negative
185,gambling gambling whether betting given gamble nothing pitiful,89,15,Negative
187,get,32,7,Negative
192,everyones character good dont know protagonist feel clear indirect blame childhood partner feel still man,182,36,Negative
193,dont want write long play number words super,65,14,Negative
196,cant set thermal play spoiled,40,7,Negative
197,cant set thermal play spoiled,40,7,Negative
204,good look,10,2,Negative
207,feeling write,31,6,Negative
215,later story violated,23,4,Negative
216,mens thinking chaotic unclear every big event,56,9,Negative
217,said diishing mild chicken soup,65,14,Negative
220,capitalism 1,30,5,Negative
222,winning quen dont win independence,44,7,Negative
224,worth promoting,35,6,Negative
225,reversal snake must dark,40,8,Negative
226,bug welcomes,30,5,Negative
232,tianjin tastes sound string,38,7,Negative
233,pack cockroaches gold smashed boom,49,9,Negative
236,acting ok plot old set impressed two toolman girls,76,15,Negative
239,records watching,26,4,Negative
